state,n_delivered_orders,avg_delivery_days,avg_days_early_vs_estimate,pct_on_time
RR,41,29.39,16.59,87.8
AP,67,27.19,19.06,95.5
AM,145,26.43,18.85,95.9
AL,397,24.54,8.03,76.1
PA,946,23.77,13.39,87.6
MA,717,21.57,8.89,80.3
SE,335,21.52,9.33,84.8
CE,1279,21.27,10.11,84.7
AC,80,21.04,20.08,96.3
PB,517,20.43,12.6,89.0
PI,476,19.46,10.63,84.0
RO,243,19.37,19.4,97.1
BA,3256,19.34,10.1,86.0
RN,474,19.28,12.96,89.2
PE,1593,18.45,12.61,89.2
MT,886,18.06,13.69,93.2
TO,274,17.66,11.44,87.2
ES,1995,15.79,9.8,87.8
MS,701,15.62,10.36,88.4
GO,1957,15.61,11.48,91.8
RJ,12350,15.31,11.05,86.5
RS,5344,15.3,13.21,92.9
SC,3546,14.95,10.8,90.2
DF,2080,12.97,11.34,92.9
MG,11354,12.01,12.54,94.4
PR,4923,11.99,12.62,95.0
SP,40494,8.76,10.38,94.1
