state,rank_in_state,category,revenue,n_orders
AC,1,sports_leisure,1677.46,9
AC,2,watches_gifts,1389.6,4
AC,3,health_beauty,1386.58,6
AL,1,health_beauty,12681.26,62
AL,2,watches_gifts,11605.02,34
AL,3,computers_accessories,7605.61,32
AM,1,health_beauty,2776.03,15
AM,2,garden_tools,1980.88,5
AM,3,computers_accessories,1815.74,10
AP,1,computers_accessories,2050.03,6
AP,2,watches_gifts,1639.8,7
AP,3,computers,1437.0,1
BA,1,health_beauty,49955.12,319
BA,2,watches_gifts,45631.52,214
BA,3,sports_leisure,37010.06,250
CE,1,health_beauty,31544.5,152
CE,2,watches_gifts,29025.35,127
CE,3,cool_stuff,12005.41,47
DF,1,watches_gifts,32292.27,141
DF,2,health_beauty,29542.82,219
DF,3,computers_accessories,23853.44,133
ES,1,watches_gifts,28074.0,142
ES,2,bed_bath_table,22589.65,197
ES,3,sports_leisure,20086.2,156
GO,1,watches_gifts,31486.93,138
GO,2,health_beauty,27971.3,206
GO,3,bed_bath_table,22285.61,189
MA,1,health_beauty,12668.28,82
MA,2,computers_accessories,12152.83,59
MA,3,watches_gifts,9712.99,56
MG,1,health_beauty,154324.15,990
MG,2,bed_bath_table,128760.49,1120
MG,3,watches_gifts,121622.03,601
MS,1,health_beauty,11231.58,57
MS,2,housewares,10861.74,34
MS,3,computers_accessories,9738.8,54
MT,1,health_beauty,15241.8,83
MT,2,watches_gifts,15006.91,59
MT,3,auto,10087.42,49
PA,1,health_beauty,23545.84,99
PA,2,watches_gifts,21635.82,71
PA,3,sports_leisure,12298.65,72
PB,1,health_beauty,15692.08,75
PB,2,watches_gifts,13102.98,41
PB,3,computers_accessories,7195.08,40
PE,1,health_beauty,40685.01,220
PE,2,watches_gifts,30894.88,145
PE,3,sports_leisure,18245.51,127
PI,1,health_beauty,10205.2,50
PI,2,auto,10017.38,27
PI,3,watches_gifts,7736.18,38
PR,1,sports_leisure,57653.3,420
PR,2,watches_gifts,57287.2,266
PR,3,health_beauty,53730.23,375
RJ,1,watches_gifts,174895.01,789
RJ,2,bed_bath_table,144251.79,1357
RJ,3,health_beauty,140236.35,939
RN,1,health_beauty,13728.98,56
RN,2,watches_gifts,10052.42,46
RN,3,telephony,5303.29,22
RO,1,health_beauty,7085.76,23
RO,2,watches_gifts,4428.27,13
RO,3,sports_leisure,3212.88,16
RR,1,sports_leisure,1350.6,6
RR,2,home_appliances,954.18,3
RR,3,baby,949.9,1
RS,1,bed_bath_table,60040.95,537
RS,2,furniture_decor,53774.9,438
RS,3,computers_accessories,52380.04,386
SC,1,sports_leisure,41579.03,309
SC,2,health_beauty,39260.73,282
SC,3,computers_accessories,36058.43,260
SE,1,health_beauty,8396.67,38
SE,2,cool_stuff,5686.67,17
SE,3,furniture_decor,4231.39,19
SP,1,bed_bath_table,472238.07,4347
SP,2,health_beauty,453916.48,3715
SP,3,watches_gifts,421546.6,2090
TO,1,sports_leisure,5144.32,23
TO,2,watches_gifts,4920.89,26
TO,3,health_beauty,4798.99,29
